name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
波士顿,美国,S,keep,3567,4006,-11.0,3148,2581,22.0,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.12,Zillow-ZORI-2026-03-31,,83,,
西雅图,美国,S,keep,3570,4009,-11.0,2192,2583,-15.1,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.12,Zillow-ZORI-2026-03-31,,83,,
丹佛,美国,S,keep,3360,3774,-11.0,1858,2431,-23.6,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.06,Zillow-ZORI-2026-03-31,134120→150000(11.8%),83,,
奥斯汀,美国,S,keep,3195,3588,-11.0,1579,2312,-31.7,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.01,Zillow-ZORI-2026-03-31,,83,,
温哥华,加拿大,A,keep,2511,2629,-4.5,1279,1709,-25.2,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1×none1.00,StatCan-CMHC-2024,,97,moderate,
蒙特利尔,加拿大,B,keep,2511,2414,4.0,760,1554,-51.1,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1×none1.00,StatCan-CMHC-2024,,97,,
墨尔本,澳大利亚,B,keep,2474,3058,-19.1,940,1419,-33.8,v4:US3200×geomean(wbPLI=0.90;digPLI=0.67)×prem1×none1.00,cost×rentShare(0.38),,95,,
布里斯班,澳大利亚,B,keep,2474,2797,-11.5,940,1285,-26.8,v4:US3200×geomean(wbPLI=0.90;digPLI=0.67)×prem1×none1.00,cost×rentShare(0.38),,95,,
奥克兰,新西兰,B,keep,2463,3059,-19.5,936,1420,-34.1,v4:US3200×geomean(wbPLI=0.89;digPLI=0.67)×prem1×none1.00,cost×rentShare(0.38),,99,,
曼谷,泰国,A,keep,1360,1088,25.0,478,385,24.2,v4:US3200×geomean(wbPLI=0.30;digPLI=0.50)×prem1.1×none1.00,InsideAirbnb×10.2,,36,,
吉隆坡,马来西亚,C,warn,1294,1546,-16.3,414,836,-50.5,v4:US3200×geomean(wbPLI=0.31;digPLI=0.44)×prem1.1×none1.00,cost×rentShare(0.32),,53,,
胡志明市,越南,C,warn,827,1244,-33.5,232,656,-64.6,v4:US3200×geomean(wbPLI=0.29;digPLI=0.23)×prem1×none1.00,cost×rentShare(0.28),,19,,
河内,越南,C,warn,910,1180,-22.9,255,619,-58.8,v4:US3200×geomean(wbPLI=0.29;digPLI=0.23)×prem1.1×none1.00,cost×rentShare(0.28),,19,,
班加罗尔,印度,C,warn,676,1203,-43.8,189,632,-70.1,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1×none1.00,cost×rentShare(0.28),,66,,
孟买,印度,C,warn,812,1258,-35.5,227,665,-65.9,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1.2×none1.00,cost×rentShare(0.28),,66,,18
新德里,印度,C,warn,744,1145,-35.0,208,598,-65.2,v4:US3200×geomean(wbPLI=0.24;digPLI=0.18)×prem1.1×none1.00,cost×rentShare(0.28),,66,,
内罗毕,肯尼亚,B,keep,1218,979,24.4,268,261,2.7,v4:US3200×geomean(wbPLI=0.32;digPLI=0.37)×prem1.1×none1.00,cost×rentShare(0.22),,52,,
开罗,埃及,C,warn,601,1630,-63.1,168,461,-63.6,v4:US3200×geomean(wbPLI=0.17;digPLI=0.17)×prem1.1×none1.00,cost×rentShare(0.28),,18,,
德黑兰,伊朗,D,drop,,563,,,271,,null,null,,11,,
卡拉奇,巴基斯坦,C,warn,757,611,23.9,167,297,-43.8,v4:US3200×geomean(wbPLI=0.24;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.22),,,,
伊斯兰堡,巴基斯坦,C,warn,833,628,32.6,183,306,-40.2,v4:US3200×geomean(wbPLI=0.24;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,
